# BJD         RV1   E_RV1 RV2    E_RV2 FLAG
  7319.167661 65.5  0.7   -85.3  1.9   0   
  7676.177014 -39.3 1.5   158.0  2.3   0   
  7760.99193  18.4  1.6   100.8  15.8  1   
  7761.138395 -34.0 1.0   128.0  2.9   2   
  7762.010052 -26.4 0.8   160.8  2.7   0   
  7762.155933 -16.6 1.0   133.0  2.6   0   
  7762.984112 -22.9 0.7   154.8  3.4   0   
  7790.937987 67.3  1.0   -69.1  1.8   0   
  7861.864535 3.5   0.8   214.3  19.6  1   
  7862.886516 63.6  0.7   -91.8  2.3   0   
  7863.884667 79.7  0.8   -101.9 2.3   0   
  7879.851154 -14.8 0.6   115.7  1.6   0   
  7978.31959  15.8  1.7   -130.2 8.9   1   
  7979.307161 -30.5 1.0   141.3  3.6   0   
  7994.278648 62.6  0.9   -50.8  2.2   0   
  7994.302272 62.2  1.0   -70.5  3.6   0   
  7995.250407 80.6  1.3   -108.0 3.3   0   
  7995.273314 81.5  1.0   -116.3 2.9   0   
  7995.296094 85.1  1.1   -98.0  1.9   0   
  8044.16585  78.8  0.8   -102.4 1.2   0   
  8044.189544 76.4  1.0   -116.8 1.8   0   
  8044.215044 85.1  1.1   -109.5 1.6   0   
  8044.237985 78.9  1.0   -115.2 1.7   0   
  8044.259914 82.3  1.0   -112.1 1.6   0   
  8045.166104 75.4  0.8   -90.1  1.4   0   
  8045.189185 64.7  1.0   -81.6  1.6   0   
  8045.21186  56.1  1.0   -64.9  1.6   0   
  8045.234177 52.3  0.8   -38.1  1.9   0   
  8045.252622 49.4  0.8   -16.1  3.2   0   
  8071.107982 1.7   1.1   -90.6  2.9   1   
  8071.132011 4.4   0.7   92.8   4.4   0   
  8071.155404 -13.3 0.2   102.2  1.7   0   
  8071.178484 -20.1 0.5   124.2  1.4   0   
  8071.202212 -20.2 0.4   139.6  1.5   0   
  8071.225998 -31.8 0.7   148.4  1.5   0   
  8071.248673 -33.5 0.6   159.2  1.6   0   
  8091.083233 -30.4 0.9   158.2  1.7   0   
  8091.103534 -23.7 1.0   152.2  1.7   0   
  8091.178826 -1.4  1.4   104.5  2.7   0   
  8092.087344 19.0  1.2   103.1  14.7  1   
  8092.108802 22.9  1.2   115.3  12.8  1   
  8092.134115 32.4  1.2   -119.4 9.1   1   
  8092.16054  43.1  1.0   -218.7 999.0 1   
  8092.209279 61.4  1.0   -64.8  2.1   0   
  8092.233088 67.8  1.4   -82.4  3.0   0   
  8093.017192 43.0  1.0   -102.7 12.2  1   
  8093.041602 51.1  1.1   -41.5  2.2   0   
  8096.159547 -31.1 0.6   168.5  2.3   0   
  8096.182777 -36.2 0.8   165.7  3.3   0   
  8096.200265 -32.0 0.9   174.0  1.9   0   
  8097.052699 -32.2 0.6   165.3  2.1   0   
  8097.077422 -38.2 0.6   159.1  2.2   0   
  8097.158812 -14.3 0.8   125.1  2.0   0   
  8097.181196 -15.4 0.8   101.8  1.7   0   
  8097.205641 -2.1  1.3   80.8   2.3   0   
  8097.228859 3.9   0.7   74.4   8.3   2   
  8156.031633 58.4  0.9   -45.7  1.7   0   
  8156.054143 48.0  0.8   -34.1  2.5   0   
  8156.076572 37.0  1.0   41.9   999.0 1   
  8156.099024 30.8  0.7   -112.4 9.2   1   
  8218.906952 -14.2 1.0   107.9  2.8   0   
  8218.926904 -19.6 0.9   125.1  2.9   0   
  8219.882333 -34.4 0.9   170.9  2.0   0   
  8219.905121 -27.5 0.9   175.8  2.3   0   
  8219.927757 -28.6 0.7   166.1  2.3   0   
